# lang,native_word_or_phrase,english_name
# ── Malayalam (ml) ────────────────────────────────────────────────────────────
# Groceries
te,కందులు,Pigeon Peas (Whole)
# Oils
te,కొబ్బరి నూనె,Coconut Oil
te,వేరుశెనగ నూనె,Groundnut Oil
te,నువ్వుల నూనె,Sesame Oil
te,పొద్దుతిరుగుడు నూనె,Sunflower Oil
te,ఆవాల నూనె,Mustard Oil
te,పామాయిల్,Palm Oil
# Vegetables
te,వంకాయ,Brinjal
te,బెండకాయ,Okra
te,కాకరకాయ,Bitter Gourd
te,సొరకాయ,Bottle Gourd
te,పొట్లకాయ,Snake Gourd
te,చిక్కుడు,Cluster Beans
te,మునగకాయ,Drumstick
te,అరటికాయ,Raw Banana
te,ముల్లంగి,Radish
te,క్యారెట్,Carrot
te,బంగాళాదుంప,Potato
te,క్యాబేజీ,Cabbage
te,కాలీఫ్లవర్,Cauliflower
te,దోసకాయ,Cucumber
te,గుమ్మడికాయ,Pumpkin
te,చేమదుంప,Colocasia (Arbi)
te,అల్లం,Ginger
# Fruits
te,అరటిపండు,Banana
te,మామిడి,Mango
te,యాపిల్,Apple
te,నారింజ,Orange
te,ద్రాక్ష,Grapes
te,పుచ్చకాయ,Watermelon
te,బొప్పాయి,Papaya
te,అనాస,Pineapple
te,నిమ్మకాయ,Lemon
te,జామకాయ,Guava
te,కొబ్బరికాయ,Coconut
# Household
te,చేట,Winnowing Tray
te,చెరిగిపారేసే బుట్ట,Winnowing Tray
te,కుర్చీ,Chair
te,బల్ల,Table
te,మంచం,Bed
te,డబ్బా,Box
te,బకెట్,Bucket
te,చీపురు,Broom
te,సబ్బు,Soap
te,లైజోల్,Lizol
te,లైజోల్ బాటిల్,Lizol bottle
te,డెట్టాల్,Dettol
te,హార్పిక్,Harpic
te,విమ్ బార్,Vim Bar
te,సర్ఫ్ ఎక్సెల్,Surf Excel
te,కత్తి,Knife
te,గ్లాసు,Glass
te,పళ్ళెం,Plate
# ── Tamil (ta) ────────────────────────────────────────────────────────────────
# Groceries
ta,அரிசி,Rice
ta,கோதுமை,Wheat
ta,மாவு,Flour
ta,சர்க்கரை,Sugar
ta,உப்பு,Salt
ta,தேயிலை,Tea
ta,காபி,Coffee
ta,பால்,Milk
ta,தயிர்,Curd
ta,நெய்,Ghee
ta,எண்ணெய்,Oil
ta,தேங்காய் எண்ணெய்,Coconut Oil
ta,கடலை எண்ணெய்,Groundnut Oil
ta,சூரியகாந்தி எண்ணெய்,Sunflower Oil
ta,நல்லெண்ணெய்,Sesame Oil
ta,மஞ்சள் தூள்,Turmeric Powder
ta,மிளகாய் தூள்,Chilli Powder
ta,மல்லி தூள்,Coriander Powder
ta,கடுகு,Mustard Seeds
ta,சீரகம்,Cumin Seeds
ta,மிளகு,Black Pepper
ta,புளி,Tamarind
ta,வெங்காயம்,Onion
ta,பூண்டு,Garlic
ta,இஞ்சி,Ginger
ta,கறிவேப்பிலை,Curry Leaves
ta,கொத்தமல்லி,Coriander Leaves
ta,வெல்லம்,Jaggery
ta,தேன்,Honey
# Dals
ta,துவரம் பருப்பு,Toor Dal
ta,உளுத்தம் பருப்பு,Urad Dal
ta,பாசிப் பருப்பு,Moong Dal
ta,கடலை பருப்பு,Chana Dal
ta,மசூர் பருப்பு,Masoor Dal
ta,பாசிப்பயறு,Green Gram
ta,தட்டைப்பயறு,Black-eyed Peas
ta,கொள்ளு,Horse Gram
ta,காராமணி,Black-eyed Peas
# Oils (already protected but include for dict completeness)
ta,தேங்காய்,Coconut
ta,கடலை,Groundnut
# Vegetables
ta,வாழைக்காய்,Raw Banana
ta,கத்திரிக்காய்,Brinjal
ta,வெண்டைக்காய்,Okra
ta,பாகற்காய்,Bitter Gourd
ta,சுரைக்காய்,Bottle Gourd
ta,புடலங்காய்,Snake Gourd
ta,அவரைக்காய்,Cluster Beans
ta,முருங்கைக்காய்,Drumstick
ta,கேரட்,Carrot
ta,முள்ளங்கி,Radish
ta,உருளைக்கிழங்கு,Potato
ta,தக்காளி,Tomato
ta,காலிஃப்ளவர்,Cauliflower
ta,முட்டைகோஸ்,Cabbage
ta,வெள்ளரி,Cucumber
ta,பூசணிக்காய்,Pumpkin
ta,சேனைக்கிழங்கு,Yam
ta,கோலாவரை,Colocasia
# Fruits
ta,வாழைப்பழம்,Banana
ta,மாம்பழம்,Mango
ta,ஆப்பிள்,Apple
ta,ஆரஞ்சு,Orange
ta,திராட்சை,Grapes
ta,தர்பூசணி,Watermelon
ta,பப்பாளி,Papaya
ta,அன்னாசி,Pineapple
ta,எலுமிச்சை,Lemon
ta,கொய்யா,Guava
ta,தேங்காய்,Coconut
# Household
ta,தட்டு,Plate
ta,கப்,Cup
ta,கண்ணாடி,Glass
ta,கத்தி,Knife
ta,வாளி,Bucket
ta,துடைப்பம்,Broom
ta,மூரம்,Winnowing Tray
ta,முறம்,Winnowing Tray
ta,நாற்காலி,Chair
ta,மேசை,Table
ta,படுக்கை,Bed
ta,டப்பா,Box
ta,சோப்பு,Soap
ta,ஷாம்பு,Shampoo
ta,பேஸ்ட்,Toothpaste
ta,சீப்பு,Comb
# ── Kannada (kn) ────────────────────────────────────────────────────────────────
# Groceries
kn,ಅಕ್ಕಿ,Rice
kn,ಗೋಧಿ,Wheat
kn,ಹಿಟ್ಟು,Flour
kn,ಸಕ್ಕರೆ,Sugar
kn,ಉಪ್ಪು,Salt
kn,ಚಹಾ ಪುಡಿ,Tea Powder
kn,ಕಾಫಿ ಪುಡಿ,Coffee Powder
kn,ಹಾಲು,Milk
kn,ಮೊಸರು,Curd
kn,ತುಪ್ಪ,Ghee
kn,ಎಣ್ಣೆ,Oil
kn,ತೆಂಗಿನ ಎಣ್ಣೆ,Coconut Oil
kn,ಕಡಲೆ ಎಣ್ಣೆ,Groundnut Oil
kn,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,Sunflower Oil
kn,ಸಾಸಿವೆ ಎಣ್ಣೆ,Mustard Oil
kn,ಎಳ್ಳಿನ ಎಣ್ಣೆ,Sesame Oil
kn,ಅರಿಶಿನ ಪುಡಿ,Turmeric Powder
kn,ಮೆಣಸಿನ ಪುಡಿ,Chilli Powder
kn,ಕೊತ್ತಂಬರಿ ಪುಡಿ,Coriander Powder
kn,ಗರಂ ಮಸಾಲ,Garam Masala
kn,ಸಾಸಿವೆ,Mustard Seeds
kn,ಜೀರಿಗೆ,Cumin Seeds
kn,ಕಾಳು ಮೆಣಸು,Black Pepper
kn,ಹುಣಸೆ,Tamarind
kn,ಈರುಳ್ಳಿ,Onion
kn,ಬೆಳ್ಳುಳ್ಳಿ,Garlic
kn,ಶುಂಠಿ,Ginger
kn,ಕರಿಬೇವು,Curry Leaves
kn,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,Coriander Leaves
kn,ಬೆಲ್ಲ,Jaggery
kn,ಜೇನು,Honey
# Dals & Legumes
kn,ತೊಗರಿ ಬೇಳೆ,Toor Dal
kn,ಉದ್ದಿನ ಬೇಳೆ,Urad Dal
kn,ಹೆಸರು ಬೇಳೆ,Moong Dal
kn,ಕಡಲೆ ಬೇಳೆ,Chana Dal
kn,ಮಸೂರ್ ಬೇಳೆ,Masoor Dal
kn,ಹೆಸರು ಕಾಳು,Green Gram
kn,ಅಲಸಂದೆ ಕಾಳು,Black-eyed Peas
kn,ಹುರುಳಿ,Horse Gram
kn,ಕಡಲೆ,Chickpeas
# Vegetables
kn,ಆಲೂಗಡ್ಡೆ,Potato
kn,ಟೊಮ್ಯಾಟೊ,Tomato
kn,ಬದನೆಕಾಯಿ,Brinjal
kn,ಬೆಂಡೆಕಾಯಿ,Okra
kn,ಹಾಗಲಕಾಯಿ,Bitter Gourd
kn,ಸೋರೆಕಾಯಿ,Bottle Gourd
kn,ಪಡವಲಕಾಯಿ,Snake Gourd
kn,ಅವರೆಕಾಯಿ,Hyacinth Beans
kn,ಗೋರಿಕಾಯಿ,Cluster Beans
kn,ನುಗ್ಗೆಕಾಯಿ,Drumstick
kn,ಗಜ್ಜರಿ,Carrot
kn,ಮೂಲಂಗಿ,Radish
kn,ಹೂಕೋಸು,Cauliflower
kn,ಎಲೆಕೋಸು,Cabbage
kn,ಸೌತೆಕಾಯಿ,Cucumber
kn,ಕುಂಬಳಕಾಯಿ,Pumpkin
kn,ಸುವರ್ಣ ಗಡ್ಡೆ,Yam
kn,ಮೆಂತ್ಯ ಸೊಪ್ಪು,Fenugreek Leaves
kn,ಪಾಲಕ್,Spinach
kn,ಬಟಾಣಿ,Green Peas
kn,ಮೆಕ್ಕೆ ಜೋಳ,Corn
# Fruits
kn,ಬಾಳೆಹಣ್ಣು,Banana
kn,ಮಾವಿನ ಹಣ್ಣು,Mango
kn,ಸೇಬು,Apple
kn,ಕಿತ್ತಳೆ,Orange
kn,ದ್ರಾಕ್ಷಿ,Grapes
kn,ಕಲ್ಲಂಗಡಿ,Watermelon
kn,ಪಪ್ಪಾಯ,Papaya
kn,ಅನಾನಸ್,Pineapple
kn,ನಿಂಬೆ,Lemon
kn,ಪೇರಲ,Guava
kn,ತೆಂಗಿನಕಾಯಿ,Coconut
kn,ಸೀತಾಫಲ,Custard Apple
kn,ದಾಳಿಂಬೆ,Pomegranate
# Hardware
kn,ಸುತ್ತಿಗೆ,Hammer
kn,ಮೊಳೆ,Nail
kn,ತಿರುಪು ಮೊಳೆ,Screw
kn,ಸ್ಕ್ರೂಡ್ರೈವರ್,Screwdriver
kn,ಪ್ಲೈಯರ್ಸ್,Pliers
kn,ಸ್ಪಾನರ್ / ರಿಂಚ್,Spanner / Wrench
kn,ಡ್ರಿಲ್ ಮಿಶನ್,Drill Machine
kn,ಟೇಪ್,Tape
kn,ಪೈಂಟ್ ಬ್ರಷ್,Paint Brush
kn,ಪೈಪ್,Pipe
kn,ಬೀಗ,Lock
kn,ಕೀ,Key
kn,ಹಿಂಜ್,Hinge
kn,ಸ್ವಿಚ್,Switch
kn,ಸಾಕೆಟ್,Socket
kn,ವೈರ್,Wire
kn,ಬಲ್ಬ್,Bulb
kn,ಸಿಮೆಂಟ್,Cement
kn,ಇಟ್ಟಿಗೆ,Brick
kn,ಮರಳು,Sand
# Household
kn,ತಟ್ಟೆ,Plate
kn,ಗ್ಲಾಸ್ / ಲೋಟ,Glass / Tumbler
kn,ಕಪ್,Cup
kn,ಚಮಚ,Spoon
kn,ಚಾಕು,Knife
kn,ಬಾಣಲಿ,Pan / Kadai
kn,ಕುಕ್ಕರ್,Pressure Cooker
kn,ಡಬ್ಬ,Box / Container
kn,ಬಕೆಟ್,Bucket
kn,ಪೊರಕೆ,Broom
kn,ಮಾಪ್,Mop
kn,ಕುರ್ಚಿ,Chair
kn,ಮೇಜು,Table
kn,ಮಂಚ,Bed
kn,ದಿಂಬು,Pillow
kn,ಹೊದ್ದಿಕೆ,Blanket
kn,ಸಾಬೂನು,Soap
kn,ಶಾಂಪೂ,Shampoo
kn,ಹಲ್ಲುಜ್ಜುವ ಪೇಸ್ಟ್,Toothpaste
kn,ಬಾಚಣಿಗೆ,Comb
kn,ಟವೆಲ್,Towel
kn,ಕನ್ನಡಿ,Mirror
kn,ಗಡಿಯಾರ,Clock
kn,ಕ್ಯಾಲೆಂಡರ್,Calendar
# Electronics
kn,ಮೊಬೈಲ್ ಫೋನ್,Mobile Phone
kn,ದೂರದರ್ಶನ / ಟಿವಿ,Television
kn,ಫ್ರಿಡ್ಜ್,Refrigerator
kn,ವಾಷಿಂಗ್ ಮಶಿನ್,Washing Machine
kn,ಮಿಕ್ಸರ್ ಗ್ರೈಂಡರ್,Mixer Grinder
kn,ಇಸ್ತ್ರಿ ಪೆಟ್ಟಿಗೆ,Iron Box
kn,ಫ್ಯಾನ್,Fan
kn,ಎಸಿ,Air Conditioner
kn,ಲ್ಯಾಪ್‌ಟಾಪ್,Laptop
kn,ಕ್ಯಾಮರಾ,Camera
kn,ಚಾರ್ಜರ್,Charger
kn,ಹೆಡ್‌ಫೋನ್,Headphones
kn,ಸ್ಪೀಕರ್,Speaker
kn,ರೂಟರ್,Router
kn,ಎಕ್ಸ್‌ಟೆನ್ಶನ್ ಬೋರ್ಡ್,Extension Board
kn,ಟಾರ್ಚ್,Torch
kn,ಇನ್ವರ್ಟರ್,Inverter
kn,ಯುಪಿಎಸ್,UPS
